amenity,operator,Latitude,Longitude,Amenity_Type,Raw_Amenity,OSM_ID,name,addr:city,addr:postcode,addr:street,addr:street:corner,brand,brand:wikidata,brand:wikipedia,healthcare,dispensing,drive_through,access:covid19,addr:village,delivery:covid19,shop,takeaway:covid19,addr2:street,branch,opening_hours,source,source:url,addr:province,mapillary,wheelchair,addr:quarter,brand:facebook,brand:website,description,level,payment:cash,addr:state,addr:housenumber,check_date,contact:phone,payment:credit_cards,payment:debit_cards,payment:qr_code,email,phone,ref:vatin,website,source:name,is_in:city,is_in:zip,addr:housename,facebook,payment:gcash,addr:district,air_conditioning,source:feature,source:position,survey:date,source:ph,opening_hours:covid19,note,contributor:ph,official_name,ph:contributor,addr:street:es,addr:floor,addr:town,addr:unit,addr:municipality,addr:place,alt_name,name:abbr,source_ref,building,image,ele,addr:building,contact:facebook,contact:website,wpt_symbol,addr:country,FIXME,arivac:name,arivac:type_id,arivac:typetxt,roof:material,wall:material,contributor,old_name,fixme,name:en,payment:mastercard,payment:visa,wpt_description,addr:barangay,short_name,not:brand:wikidata,check_date:opening_hours,operational_status,backup_generator,capacity:persons,operator:type,survey:name,water_source,addr:suburb,mobile,addr:city_block,internet_access,payment:cards,addr:housewing,contact:mobile,level:ref,name:it,sym,time,cmt,is_in:town,atm,name:es,emergency,surveillance,surveillance:type,previously,opening_hours:drive_through,operator:wikidata,operator:wikipedia,payment:mastercard_debit,payment:visa_debit,addr:street_1,postal_code,contact:email,layer,addr:neighbourhood,delivery,smoking,wall:material_1,noname,bubbleid,old_addr:street,addr:city:es,name:fr,payment:coins,payment:cryptocurrencies,boutique,addr:subdistrict,admin_level,payment:contactless,strapline,old_addr:housenumber,addr:milestone,floor:material,addr:hamlet,name:ru,San,building:levels,building:material,money_transfer,parking,unisex,nohousenumber,building:use,start_date,addr:block_number,delivery:partner,indoor,room,currency:XBT,payment:lightning,payment:lightning_contactless,payment:onchain,payment:telephone_cards,payment:maya,payment:paymaya,payment:qr_ph,internet_access:ssid,addr:lot,outdoor_seating,name:ceb
pharmacy,,14.6322979,121.0827536,Pharmacy,pharmacy,941393840,South Star Drug,,,,,South Star Drug,Q7568544,en:South Star Drug,pharmacy,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,10.6971281,122.5689621,Pharmacy,pharmacy,942493177,Mercury Drug,,,Iznart Street,,Mercury Drug,Q6818610,en:Mercury Drug,pharmacy,yes,,,,,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,10.6977935,122.5676278,Pharmacy,pharmacy,942495720,Mercury Drug,,,Delgado Street,,Mercury Drug,Q6818610,en:Mercury Drug,pharmacy,,,,,,,,,,08:00-23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.68,,,,Pharmacy,,,,,,,,,,,Mercury Drug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,10.7164333,122.5622972,Pharmacy,pharmacy,942506058,Mercury Drug,,,Eugenio Lopez Street,,Mercury Drug,Q6818610,,pharmacy,,,,,,,,,,,,,,2093699994294286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.6016901,121.0028537,Pharmacy,pharmacy,944882576,TGP,Manila,,Magsaysay Boulevard,,The Generics Pharmacy,Q61948677,,pharmacy,,,,,,,,,,,,,Metro Manila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Generics Pharmacy,,,,,,,,The Generics Pharmacy,TGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.5170678,120.9943541,Pharmacy,pharmacy,945984707,Mercury Drug,Parañaque,,NAIA Road,,Mercury Drug,Q6818610,,pharmacy,,,,,,,,,,,,,,,,,,,,0,,,,2023-12-29,,,,,,,,,,,,Airport Global Plaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.4642399,120.9684831,Pharmacy,pharmacy,946772470,Mercury Drug,Las Piñas,,Alabang-Zapote Road,,,,,,,,,,,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.0694364,121.3208519,Pharmacy,pharmacy,947080649,Savior's Pharmacy,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.6799990,120.5419750,Pharmacy,pharmacy,949110908,Mercury Drug,,,Don Manuel Banzon Avenue,,Mercury Drug,Q6818610,en:Mercury Drug,pharmacy,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.6341146,121.0859357,Pharmacy,pharmacy,949366060,Mervis Drug,Marikina,,A. Bonifacio Avenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,11.5634091,124.2743218,Pharmacy,pharmacy,951537010,Botika ng Barangay,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.6201747,121.0570041,Pharmacy,pharmacy,957223867,Mercury Drug,Quezon City,,General Romulo Avenue,,Mercury Drug,Q6818610,,pharmacy,,,,,,,,,QC Araneta - Ali Mall,Mo-Su 06:00-23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.6227296,121.0530969,Pharmacy,pharmacy,957223951,Mercury Drug,,,Aurora Boulevard,General Aguinaldo,Mercury Drug,Q6818610,en:Mercury Drug,pharmacy,,,,,,,,,QC Araneta - Gateway Mall,Mo-Su 07:00-23:00,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.6190976,121.0529942,Pharmacy,pharmacy,957223956,Mercury Drug,,,General Araneta Avenue,,Mercury Drug,Q6818610,en:Mercury Drug,pharmacy,yes,,,,,,,,QC Araneta - Farmers Market Arcade,Mo-Su 06:00-22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.6234006,120.9988360,Pharmacy,pharmacy,962802327,TGP,Quezon City,1114,Laon Laan Street,,The Generics Pharmacy,Q61948677,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Generics Pharmacy,,,,,,,,The Generics Pharmacy,TGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.6384466,120.9931375,Pharmacy,pharmacy,962802555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.6531379,120.9841111,Pharmacy,pharmacy,962956231,Generic Pharmacy,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.4197543,121.0450960,Pharmacy,pharmacy,964753475,Generika,,,,,Generika,Q62564876,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.6575046,120.9848275,Pharmacy,pharmacy,966015604,Mercury Drug,,,,,Mercury Drug,Q6818610,en:Mercury Drug,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.6623095,121.0443532,Pharmacy,pharmacy,967510691,Southstar Drug,,,Visayas Avenue,,Southstar Drug,Q7568544,en:South Star Drug,pharmacy,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.6508170,121.1113353,Pharmacy,pharmacy,974331396,TGP,Marikina,,Bayan-Bayanan Avenue,,The Generics Pharmacy,Q61948677,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Generics Pharmacy,,,,,,,,The Generics Pharmacy,TGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,13.6238982,123.1854974,Pharmacy,pharmacy,978177981,Farmacia Uy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,13.6227490,123.1845800,Pharmacy,pharmacy,978261695,South Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,13.6222270,123.1836870,Pharmacy,pharmacy,978263318,South Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.3983368,120.9924439,Pharmacy,pharmacy,983058242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,11.0058766,124.6066917,Pharmacy,pharmacy,983627475,Luz Pharmacy,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.7295638,121.1445351,Pharmacy,pharmacy,995646579,Pena drug store,,,,,,,,,,,,,,,,,,,,,Rizal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.6599078,121.0712529,Pharmacy,pharmacy,997425024,UP Pharmacy,,,,,,,,pharmacy,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.5626572,121.0283376,Pharmacy,pharmacy,1001644724,Generika Drugstore,Makati,,Makati Avenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,15.4864567,120.9736306,Pharmacy,pharmacy,1003849486,Mercury Drug,Cabanatuan,,Maharlica cor Mabini Street,,Mercury Drug,Q6818610,en:Mercury Drug,pharmacy,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cabanatuan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.7089092,121.0627153,Pharmacy,pharmacy,1003886562,Farmacia ni Dok,,,Commonwealth Avenue,,,,,,,,,,,,,,,,,,,187057730325666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.1179210,120.9614360,Pharmacy,pharmacy,1008385343,Mercury Drug,Tagaytay,4120,Aguinaldo Highway,,Mercury Drug,Q6818610,en:Mercury Drug,pharmacy,yes,no,,,,,,,,07:00-21:00,,,,,,,,,,,,,,,,,,,,,,,,,,Plaza Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.1697089,121.2440722,Pharmacy,pharmacy,1013105441,Econo Drugstore,Los Baños,4031,Lopez Avenue,,,,,pharmacy,,,,Batong Malake,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.5766774,121.1167458,Pharmacy,pharmacy,1017242990,Southstar Drug,Cainta,1900,,,Southstar Drug,Q7568544,,pharmacy,,,,,,,,,,,,,Rizal,1040524033230779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.5783250,121.1164337,Pharmacy,pharmacy,1017281903,TGP,Cainta,1900,A. Bonifacio Avenue,,The Generics Pharmacy,Q61948677,,pharmacy,yes,,,,,,,,,,,,Rizal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Generics Pharmacy,,,,,,,,The Generics Pharmacy,TGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.5759551,121.1213278,Pharmacy,pharmacy,1017292170,Mercury Drug,Cainta,1900,A. Bonifacio Avenue,,Mercury Drug,Q6818610,en:Mercury Drug,pharmacy,,,,,,,,,,,,,Rizal,,,,,,,,,,,,,,,,,,,,,,,Rublou Marketplace Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.3004101,120.9539368,Pharmacy,pharmacy,1017527885,Mercury Drug,,,,,,,,,yes,,,,,,,,,,,,,,yes,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.0630916,121.2455664,Pharmacy,pharmacy,1018210574,TGP,Alaminos,4001,Marcelo H. del Pilar Avenue,,TGP,Q61948677,,pharmacy,no,,,,,,,,,,,,,,,,https://www.facebook.com/tgpthegenericspharmacy,https://tgp.com.ph/,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,The Generics Pharmacy,,,,,,,,The Generics Pharmacy,TGP,,,,,,,,,,,,,,,,,,,TGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.1844902,121.1367486,Pharmacy,pharmacy,1021566027,TGP,,,,,The Generics Pharmacy,Q61948677,,pharmacy,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Generics Pharmacy,,,,,,,,The Generics Pharmacy,TGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.0262989,121.5946291,Pharmacy,pharmacy,1022888364,Farmacia Juan Pietro,Tayabas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.1141669,121.5550089,Pharmacy,pharmacy,1022888598,South Star Drug,Lucban,,,,,,,,no,,,,,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,8.1559685,125.1270086,Pharmacy,pharmacy,1029003369,Mercury Drug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,8.1557913,125.1269150,Pharmacy,pharmacy,1029003475,Rojon Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.5879899,120.9776207,Pharmacy,pharmacy,1038225372,Seamary's Pharmacy,Manila,,Cabildo,,,,,pharmacy,,,,,,,,,,,,,Metro Manila,4180753361986903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.5801714,120.9784238,Pharmacy,pharmacy,1041008732,Mercury Drug,Manila,,,,Mercury Drug,Q6818610,en:Mercury Drug,pharmacy,yes,,,,,,,,,,,,Metro Manila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.6527661,120.9840738,Pharmacy,pharmacy,1041534078,Mercury Drug,,,Rizal Avenue Extension,,Mercury Drug,Q6818610,en:Mercury Drug,pharmacy,,,,,,,,,,,,,,506227993902411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.5825728,120.9842678,Pharmacy,pharmacy,1044981536,Mercury Drug,Manila,,,,Mercury Drug,Q6818610,en:Mercury Drug,pharmacy,,,,,,,,,,,,,Metro Manila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.5784828,120.9830990,Pharmacy,pharmacy,1047258797,Generika,Manila,1000,Padre Faura Street,,Generika,Q62564876,,pharmacy,yes,,,,,,,,,,,,Metro Manila,,,,,,,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.3138152,121.1126939,Pharmacy,pharmacy,1048438859,Mercury Drug,,,,,,,,,,,,,,,,,,,local_knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.5663864,121.0760561,Pharmacy,pharmacy,1051999952,Southstar Drug,Pasig,,Dr. Sixto Antonio Avenue,,Southstar Drug,Q7568544,,pharmacy,yes,,,,,,,,,,,,Metro Manila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.5821875,120.9855181,Pharmacy,pharmacy,1058992622,Rich-B Pharmacy,Manila,,,,,,,pharmacy,,,,,,,,,,,Walking Papers,,Metro Manila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.7062597,121.0690605,Pharmacy,pharmacy,1059278012,Mercury Drug,,,Regalado Avenue,,Mercury Drug,Q6818610,en:Mercury Drug,pharmacy,,,,,,,,,,,,,,326857885620911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.7044965,121.0803821,Pharmacy,pharmacy,1059290448,Mercury Drug,,,Commonwealth Avenue,,Mercury Drug,Q6818610,,pharmacy,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
